Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2024-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,411173184.4,392737430.2,463128491.6,527932960.9,531843575.4,477620111.7,455134078.2,522438547.5,590374301.7,641530726.3,782592178.8,852547486,850061452.5,912697765.4,757000000,693955307.3,723212290.5,615162569.8,649933519.6,645006145.3,638178212.3,613883240.2,635530726.3,733921787.7,761966480.4,580750782.1,646683854.7,728526145.3,
Africa Eastern and Southern,AFE,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47303385818,53380811699,51708697549,51017471035,51411116344,49619798565,54210027981,47353223594,47307764862,65229331127,86812530386,99578749917,1.17E+11,1.42E+11,1.68E+11,1.67E+11,1.82E+11,2.12E+11,2.16E+11,2.25E+11,2.31E+11,2.11E+11,1.78E+11,2.03E+11,2.11E+11,2.16E+11,1.89E+11,2.19E+11,2.50E+11,2.49E+11
Afghanistan,AFG,Gross capital formation (current US$),NE.GDI.TOTL.CD,86666711.11,91111155.56,104444506.7,106666724.4,111111155.6,113333340,117777771.1,86666666.67,88888888.89,91111111.11,95555562.22,99999993.33,104444451.1,126666660,188888882.2,231111111.1,348888882.2,366666660,457777788.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2294931841,1854644926,2421860418,
Africa Western and Central,AFW,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4661062145,5424166519,7276096273,10187915801,12205182675,16793426832,27273497597,30106141240,23629203928,29539717730,34148610390,34597374204,37391495069,30952029925,14358920734,17781659791,14197377629,12557628119,12848257811,17582201885,27411216560,22547318751
Albania,ALB,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,611538473.2,643706270.4,671875012.5,612875012.5,614499962.5,740750012.5,615888125,83600694.44,36891479.03,162105372.7,355435477,509144791.4,577976420.6,376257327.9,502639653.3,633902317.2,1071819204,1372290895,1533305462,1902121187,2456928761,2968774767,3175678040,3679616491,4608745039,4162217993,3614892808,4049449495,3490030385,3584049924,3396286215,2939977128,2991848400,3261771860,3623932112,3544359949,3482126461,4448984737,,
Andorra,AND,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,7382170228,8112822687,9956510691,11083886621,12751750111,9169569968,44247730952,42753287332,66817415445,80032014601,98494826078,1.05E+11,1.30E+11,1.36E+11,1.42E+11,1.26E+11,1.25E+11,1.07E+11,99680943241,94053558817,97878615667,82500137192,1.95E+11,1.01E+11,1.05E+11,1.10E+11,1.06E+11,1.16E+11,1.20E+11,1.15E+11,1.32E+11,1.44E+11,1.50E+11,1.59E+11,1.55E+11,1.79E+11,2.11E+11,2.57E+11,3.23E+11,4.23E+11,5.55E+11,5.15E+11,5.66E+11,6.24E+11,6.62E+11,6.99E+11,7.45E+11,7.20E+11,7.09E+11,7.13E+11,7.60E+11,7.73E+11,6.59E+11,7.14E+11,8.51E+11,
United Arab Emirates,ARE,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23247802287,24758811082,27517552893,29533120000,36424851681,42802745378,64992757985,79178107856,80206027366,78593555317,81219427148,81978431096,75126823336,89369188618,91822890157,92902151858,97541306140,99269102573,93724842260,79632485146,,,
Argentina,ARG,Gross capital formation (current US$),NE.GDI.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,22870000000,22557142857,15551666667,18546808511,21320560748,23659428571,11888860207,19785104980,27769271211,38211583095,46609970270,51399500500,47736933000,53406319800,60990966300,62691747400,50645509000,49830828800,41986461000,10606870818,18049680786,28899558550,37537987445,43442829424,57791082382,70766944271,53453089199,75005496431,97540924275,90097938094,95532250251,90857938990,1.02E+11,98478204195,1.17E+11,87192973456,63626076656,55605095047,88102226420,1.11E+11,1.25E+11
