Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,2024-10-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,Gross domestic savings (current US$),NY.GDS.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,390502793.3,364245810.1,406703910.6,461452514,451396648,546921787.7,485524022.3,441960893.9,440502793.3,571635195.5,572558100.6,559771508.4,586319553.1,683789944.1,457709497.2,325220111.7,329226257,342185474.9,410028491.6,468315642.5,634390502.8,655687150.8,675518435.8,710726257,800189944.1,235074460.3,592047006.5,933763095.3,
Africa Eastern and Southern,AFE,Gross domestic savings (current US$),NY.GDS.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,48067880488,49960425256,44139464037,45872313687,42303998504,40763845000,44661415018,46045513175,43270256376,46601402952,40123148264,44403248964,34103221620,39170931705,41729006181,42065942036,34303362969,35351215545,42825327178,43185874320,54406711965,70007211307,88073147311,1.13E+11,1.39E+11,1.67E+11,1.87E+11,1.54E+11,1.92E+11,2.13E+11,1.86E+11,1.80E+11,1.89E+11,1.56E+11,1.45E+11,1.75E+11,1.86E+11,1.90E+11,1.75E+11,2.24E+11,2.40E+11,2.17E+11
Afghanistan,AFG,Gross domestic savings (current US$),NY.GDS.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2876161604,-1389657925,-2821683616,
Africa Western and Central,AFW,Gross domestic savings (current US$),NY.GDS.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Gross domestic savings (current US$),NY.GDS.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6016649542,6268746657,10380438729,19231579861,29129789253,34905835377,48155650886,26638923852,39519749152,53415088665,59861845789,54027718250,51065861509,27893866118,15877825750,22019858301,26349018948,29397294705,18031645145,31565606005,47351765177,33740235853
Albania,ALB,Gross domestic savings (current US$),NY.GDS.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,506848473.2,531851946.4,586538762.5,534971225,479461275,593965025,367816912.5,-188023583.3,-566819134.4,-456247375.9,-297305377.1,-129603225.5,-114899946.8,-189079822.8,-139027652.8,77324402.61,263558968.9,437882918,375246108.1,480969425.4,832327365.4,968124102.3,1054152295,828095587.4,840805804.4,972107049.5,1280153134,1382714586,1378380443,1142850213,1026607035,933107609.6,921570533.9,1157918675,1455883280,1332692702,1137894683,2051158470,2657146102,3089224502
Andorra,AND,Gross domestic savings (current US$),NY.GDS.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Gross domestic savings (current US$),NY.GDS.TOTL.CD,,,,,,,,,6795513439,7461823572,7948196133,10675242613,14374119652,25639945927,82799586885,73153718588,94318138840,96083519674,88916602599,1.42E+11,2.28E+11,2.00E+11,1.31E+11,93971473678,86075570517,77581643796,42095547427,55141339526,52837338603,39680858388,1.43E+11,64839711928,84359498436,80574900206,95292967891,1.12E+11,1.34E+11,1.46E+11,1.21E+11,1.79E+11,2.59E+11,2.34E+11,2.30E+11,2.82E+11,3.63E+11,5.07E+11,6.25E+11,7.04E+11,9.51E+11,6.29E+11,8.81E+11,1.13E+12,1.23E+12,1.19E+12,1.08E+12,7.37E+11,7.12E+11,7.99E+11,1.00E+12,9.40E+11,6.44E+11,9.40E+11,1.42E+12,1.23E+12
United Arab Emirates,ARE,Gross domestic savings (current US$),NY.GDS.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31981643622,31276552539,39387822818,45073880272,64633271450,82306213914,85548782491,1.08E+11,95025112920,1.49E+11,1.91E+11,2.28E+11,2.25E+11,2.24E+11,1.99E+11,1.95E+11,1.96E+11,2.15E+11,2.03E+11,1.59E+11,,,
Argentina,ARG,Gross domestic savings (current US$),NY.GDS.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,26500000000,25758571429,20381666667,20498936170,21644859813,27873142857,16853591345,27882090925,30799170739,34700737199,40917630631,43484681200,46677313000,51639312000,54505788900,55161538900,45745085000,47984383900,45495038800,25277612299,32361334487,40429882798,49343929756,56512336636,70385867483,84213748247,70317826058,87276430429,1.07E+11,1.01E+11,94982531333,92985131169,95134804471,92681554528,1.00E+11,77278262574,78039934434,67204813858,1.04E+11,1.20E+11,1.09E+11
Armenia,ARM,Gross domestic savings (current US$),NY.GDS.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,746456127.8,501038961,-161510053.3,-127173572.5,-76681495.61,-256227968,-186112398.6,-241589903.4,-211151659.9,-152716159.9,-247829576.3,-185446618.4,-68189238.68,84308620,138778704.7,532478815,940108047.7,1403491408,1785681509,274042610.4,157369872.4,8580382.368,340902142,141957628.7,274792647.6,946904049,1080154628,882018314,1085388162,544223854.5,1226876751,2096668321,4030530218,4999632593
American Samoa,ASM,Gross domestic savings (current US$),NY.GDS.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,ATG,Gross domestic savings (current US$),NY.GDS.TOTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,AUS,Gross domestic savings (current US$),NY.GDS.TOTL.CD,5818400931,6046880968,5780320925,6463521034,7453601193,8097601296,8056161289,9515521522,9705921553,11699521872,13538562166,14316962291,16137850467,19768097373,28512896094,26597023078,27674067426,28524891030,28836219925,35060774736,40308635097,46317194938,50822023612,39502228312,48132061597,46679773044,45050363738,46014425622,62859791270,84538981914,86178437615,80451542671,71922743863,71471332209,77517813905,88474903475,97669880372,1.09E+11,98985281150,92369344529,1.00E+11,89133209045,96618577393,1.12E+11,1.50E+11,1.72E+11,1.92E+11,2.21E+11,2.75E+11,2.57E+11,2.97E+11,3.85E+11,4.26E+11,4.19E+11,3.88E+11,3.35E+11,2.79E+11,3.27E+11,3.56E+11,3.59E+11,3.47E+11,4.21E+11,4.96E+11,5.00E+11
